"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"McGuire Nuclear Station, Unit 1",McGuire 1,05000369,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/73,7/8/81,12/1/81,12/5/03,6/12/41,3411,,105%,94%,92%,104%,87%,79%,,93%,85%,103%,,,,,
"McGuire Nuclear Station, Unit 2",McGuire 2,05000370,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/73,5/27/83,3/1/84,12/5/03,3/3/43,3411,,82%,91%,104%,94%,90%,103%,,89%,103%,94%,,,,,
"Millstone Power Station, Unit 2",Millstone 2,05000336,"Waterford. CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",PWR-DRYAMB,CE,BECH,BECH,12/11/70,9/26/75,12/26/75,11/28/05,7/31/35,2700,,83%,87%,97%,81%,86%,100%,,88%,98%,80%,,,,,
"Millstone Power Station, Unit 3",Millstone 3,05000423,"Waterford. CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",PWR-DRYSUB,WEST 4LP,S&W,S&W,8/9/74,1/31/86,4/23/86,11/28/05,11/25/45,3650,,100%,87%,86%,105%,88%,86%,,86%,88%,101%,,,,,
"Monticello Nuclear Generating Plant, Unit 1",Monticello,05000263,"Monticello, MN (30 MI NW of Minneapolis,  MN)",3,Northern States Power Company - Minnesota,BWR-MARK 1,GE 3,BECH,BECH,6/19/67,1/9/81,6/30/71,11/8/06,9/8/30,1775,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",101%,69%,94%,83%,97%,84%,,89%,101%,92%,,,,,
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,05000220,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 1,GE 2,NIAG,S&W,4/12/65,12/26/74,12/1/69,10/31/06,8/22/29,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",87%,84%,97%,92%,98%,88%,,85%,92%,80%,,,,,
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,05000410,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 2,GE 5,S&W,S&W,6/24/74,7/2/87,3/11/88,10/31/06,10/31/46,3988,,83%,95%,89%,99%,90%,92%,,100%,86%,96%,,,,,
"North Anna Power Station, Unit 1",North Anna 1,05000338,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,4/1/78,6/6/78,3/20/03,4/1/38,2940,,89%,78%,86%,92%,101%,89%,,95%,91%,81%,,,,,
"North Anna Power Station, Unit 2",North Anna 2,05000339,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/71,8/21/80,12/14/80,3/20/03,8/21/40,2940,,99%,76%,100%,100%,82%,85%,,87%,92%,90%,,,,,
"Oconee Nuclear Station, Unit 1",Oconee 1,05000269,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/67,2/6/73,7/15/73,5/23/00,2/6/33,2568,,90%,79%,100%,85%,84%,99%,,91%,98%,71%,,,,,
