OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION
162,PACIFIC OROVILLE POWER,BUTTE,18.00,WTE,BIOMASS,AG & WOODWASTE,DIRECT COMBUSTION,OPERATIONAL,"1=.9.375, 2=9.397",12/1/85,OROVILLE,CA,95965,,,,49.1669731
163,BOWMAN,NEVADA,3.60,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,8/18/86,NEVADA CITY,CA,95604,YUBA RIVER,"CANYON CREEK, SOUTH YUBA RIVER, BOWMAN RESERVOIR",NEVADA IRRIGATION DISTRICT,1649.2180176
166,FISH POWER,YUBA,0.15,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/30/86,MARYSVILLE,CA,95935,OREGON CREEK,NORTH YUBA RIVER,YUBA COUNTY WATER AGENCY,575.3162842
167,COLUSA GEN. STATION,COLUSA,660.00,OIL/GAS,OIL/GAS,NATURAL GAS,"NATURAL GAS FIRED, COMBINED CYCLE",OPERATIONAL,,12/22/10,MAXWELL,CA,95955,,,,59.4261208
169,STOVAL 1 & 2,COLUSA,0.30,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,"1=.150, 2=.150",5/20/83,WILLIAMS,CA,95979,COLUSA BASIN,"GLENN-COLUSA CANAL, SACRAMENTO RIVER",GLENN-COLUSA IRRIGATION DISTRICT,49.1569519
170,POTTER VALLEY,MENDOCINO,9.46,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=5.1, 2=2.5, 3=2.5",1/1/10,POTTER VALLEY,CA,95469,"RUSSIAN RIVER, EEL RIVER",EAST FORK RUSSIAN RIVER,PACIFIC GAS & ELECTRIC,312.0984497
171,SPAULDING 3,NEVADA,6.61,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/29,EMIGRANT GAP,CA,95715,YUBA RIVER,"BOW-SPAULDING CANAL, SOUTH YUBA RIVER",PACIFIC GAS & ELECTRIC,1530.4372559
172,HAMMEKEN,MENDOCINO,0.33,HYDROELECTRIC,HYDRO,HYDRO,,OPERATIONAL,,3/27/90,POTTER VALLEY,CA,95469,POWERHOUSE CANAL,,W.H. HAMMEKEN,315.8627625
174,FAR WEST POWER CO.,MENDOCINO,0.40,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,9/30/87,POTTER VALLEY,CA,95469,"TAILRACE CANAL OF PROJECT 77       
TAILRACE CANAL PF PROJECT 77",TRAILRACE CANAL OF PROJECT 77,BES HYDRO CO,299.9006042
175,SPAULDING 1,NEVADA,7.04,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,5/1/17,EMIGRANT GAP,CA,95715,YUBA RIVER,"DRUM CANAL, SOUTH YUBA RIVER",PACIFIC GAS & ELECTRIC,1565.2207031
176,SPAULDING 2,NEVADA,3.70,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/20,EMIGRANT GAP,CA,95715,YUBA RIVER,"SOUTH YUBA CANAL, SOUTH YUBA RIVER",PACIFIC GAS & ELECTRIC,1480.5909424
177,COLGATE,YUBA,315.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=176.72, 2=175.67",10/1/69,DOBBINS,CA,95935,NORTH YUBA RIVER,"YUBA RIVER, NEAR ENGLEBRIGHT LAKE",YUBA COUNTY WATER AGENCY,170.9668427
