State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
NM,San Juan,803,Arizona Public Service Co,2442,Four Corners,3,,OP,253.4,220,220,22,ST,BIT,,8,1964
NM,San Juan,803,Arizona Public Service Co,2442,Four Corners,4,,OP,818.1,770,770,22,ST,BIT,,7,1969
NM,San Juan,803,Arizona Public Service Co,2442,Four Corners,5,,OP,818.1,770,770,22,ST,BIT,,7,1970
AR,Jefferson,814,Entergy Arkansas Inc,6009,White Bluff,1,,OP,850,815,815,22,ST,SUB,,8,1980
AR,Jefferson,814,Entergy Arkansas Inc,6009,White Bluff,2,,OP,850,844,844,22,ST,SUB,,8,1981
AR,Independence,814,Entergy Arkansas Inc,6641,Independence,1,,OP,850,836,836,22,ST,SUB,,1,1983
AR,Independence,814,Entergy Arkansas Inc,6641,Independence,2,,OP,850,842,842,22,ST,SUB,,12,1984
MO,New Madrid,924,"Associated Electric Coop, Inc",2167,New Madrid,1,,OP,600,599,599,22,ST,SUB,,12,1972
MO,New Madrid,924,"Associated Electric Coop, Inc",2167,New Madrid,2,,OP,600,580,580,22,ST,SUB,,6,1977
MO,Randolph,924,"Associated Electric Coop, Inc",2168,Thomas Hill,1,,OP,180,181.7,181.7,22,ST,SUB,,11,1966
MO,Randolph,924,"Associated Electric Coop, Inc",2168,Thomas Hill,2,,OP,285,275,275,22,ST,SUB,,3,1969
MO,Randolph,924,"Associated Electric Coop, Inc",2168,Thomas Hill,3,,OP,670,670,670,22,ST,SUB,,6,1982
AK,Fairbanks North Star,986,Aurora Energy LLC,79,Aurora Energy LLC Chena,1,,OP,5,6,6,22,ST,SUB,,6,1952
AK,Fairbanks North Star,986,Aurora Energy LLC,79,Aurora Energy LLC Chena,2,,OP,2.5,2.5,2.5,22,ST,SUB,,6,1952
AK,Fairbanks North Star,986,Aurora Energy LLC,79,Aurora Energy LLC Chena,5,,OP,20,23.9,23.9,22,ST,SUB,,6,1975
MN,MOWER,1009,City of Austin - (TX),1961,Austin Northeast,1,,OP,31.9,29.3,29.3,22,ST,BIT,NG,4,1971
ND,Mercer,1307,Basin Electric Power Coop,2817,Leland Olds,1,,OP,216,222,222,22,ST,LIG,SUB,1,1966
ND,Mercer,1307,Basin Electric Power Coop,2817,Leland Olds,2,,OP,440,448,448,22,ST,LIG,SUB,12,1975
WY,Platte,1307,Basin Electric Power Coop,6204,Laramie River Station,1,,OP,570,570,570,22,ST,SUB,,9,1981
WY,Platte,1307,Basin Electric Power Coop,6204,Laramie River Station,2,,OP,570,570,570,22,ST,SUB,,7,1981
