,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
194,OH,Clermont,Walter C Beckjord,OP,460.8,BIT,7,1969
195,OH,Hamilton,Miami Fort,OP,163.2,BIT,11,1960
196,OH,Hamilton,Miami Fort,OP,557.1,BIT,5,1975
197,OH,Hamilton,Miami Fort,OP,557.7,BIT,2,1978
198,OH,Clermont,W H Zimmer,OP,1425.6,BIT,3,1991
199,MS,Choctaw,Red Hills Generating Facility,OP,513.7,LIG,4,2001
200,IN,Marion,CC Perry K,OP,15.0,BIT,1,1925
201,IN,Marion,CC Perry K,OP,5.0,BIT,7,1938
202,IN,Marion,CC Perry K,OP,1.7,BIT,6,2009
203,IN,Marion,CC Perry K,OP,1.7,BIT,6,2009
204,MN,Lake,Silver Bay Power,OP,50.0,SUB,10,1955
205,MN,Lake,Silver Bay Power,OP,81.6,SUB,1,1962
206,CO,El Paso,Martin Drake,OP,50.0,SUB,11,1962
207,CO,El Paso,Martin Drake,OP,75.0,SUB,10,1968
208,CO,El Paso,Martin Drake,OP,132.0,SUB,7,1974
209,CO,El Paso,Ray D Nixon,OP,207.0,SUB,4,1980
210,MO,Boone,Columbia,OP,16.5,BIT,1,1957
211,MO,Boone,Columbia,OP,22.0,BIT,1,1965
212,PA,CLARION,Piney Creek Project,OP,36.2,WC,11,1992
213,MD,Anne Arundel,Brandon Shores,OP,685.0,BIT,5,1984
214,MD,Anne Arundel,Brandon Shores,OP,685.0,BIT,5,1991
215,MD,Baltimore,C P Crane,OP,190.4,BIT,7,1961
216,MD,Baltimore,C P Crane,OP,209.4,BIT,2,1963
217,MD,Anne Arundel,Herbert A Wagner,OP,136.0,BIT,1,1959
218,MD,Anne Arundel,Herbert A Wagner,OP,359.0,BIT,8,1966
219,MT,Rosebud,Colstrip Energy LP,OP,46.1,WC,2,1990
220,IL,Cook,Corn Products Illinois,OP,22.5,BIT,5,1991
221,IL,Cook,Corn Products Illinois,OP,22.5,BIT,5,1991
222,MI,Muskegon,B C Cobb,OP,156.3,SUB,9,1956
223,MI,Muskegon,B C Cobb,OP,156.3,SUB,3,1957
224,MI,Bay,Dan E Karn,OP,136.0,SUB,11,1959
225,MI,Bay,Dan E Karn,OP,136.0,SUB,11,1959
226,MI,Bay,Dan E Karn,OP,136.0,SUB,3,1961
227,MI,Bay,Dan E Karn,OP,136.0,SUB,3,1961
228,MI,Ottawa,J H Campbell,OP,265.2,SUB,10,1962
229,MI,Ottawa,J H Campbell,OP,403.9,SUB,7,1967
230,MI,Ottawa,J H Campbell,OP,916.8,SUB,9,1980
231,MI,Bay,J C Weadock,OP,156.3,SUB,5,1955
232,MI,Bay,J C Weadock,OP,156.3,SUB,1,1958
233,MI,Monroe,J R Whiting,OP,106.3,SUB,7,1952
234,MI,Monroe,J R Whiting,OP,106.3,SUB,12,1952
235,MI,Monroe,J R Whiting,OP,132.8,SUB,11,1953
236,IA,Clay,Earl F Wisdom,OP,33.0,BIT,4,1960
237,IN,Montgomery,Crawfordsville,OP,11.5,BIT,1,1955
238,IN,Montgomery,Crawfordsville,OP,12.6,BIT,1,1965
239,GA,WORTH,Crisp Plant,OP,12.5,BIT,6,1957
240,WI,Buffalo,Alma,OP,15.0,BIT,9,1947
241,WI,Buffalo,Alma,OP,15.0,BIT,10,1947
242,WI,Buffalo,Alma,OP,15.0,BIT,7,1951
243,WI,Buffalo,Alma,OP,54.4,BIT,4,1957
244,WI,Buffalo,Alma,OP,81.6,BIT,1,1960
245,WI,Vernon,Genoa,OP,345.6,SUB,6,1969
246,WI,Buffalo,John P Madgett,OP,387.0,SUB,11,1979
247,OH,Montgomery,O H Hutchings,OP,69.0,BIT,7,1948
248,OH,Montgomery,O H Hutchings,OP,69.0,BIT,3,1949
249,OH,Montgomery,O H Hutchings,OP,69.0,BIT,12,1950
250,OH,Montgomery,O H Hutchings,OP,69.0,BIT,2,1951
251,OH,Montgomery,O H Hutchings,OP,69.0,BIT,11,1952
252,OH,Montgomery,O H Hutchings,OP,69.0,BIT,8,1953
253,OH,Adams,J M Stuart,OP,610.2,BIT,5,1971
254,OH,Adams,J M Stuart,OP,610.2,BIT,10,1970
255,OH,Adams,J M Stuart,OP,610.2,BIT,5,1972
256,OH,Adams,J M Stuart,OP,610.2,BIT,6,1974
